#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A963CD
#Date Time: 2022-02-24 14:41:31.894
#Sample rate: 363636Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 200 Hz
#Period: 5 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 ?

Time (s),Channel 1 (V),Channel 2 (V)
-0.021563374698633807,-1.0016828001400824,-1.0152531709667232
-0.021560624698633804,-1.0010133816611613,-1.0122135826436258
-0.021557874698633808,-1.0016828001400817,-1.0091739943205367
-0.021555124698633805,-1.002017509379543,-1.0057966739615385
-0.021552374698633806,-1.0016828001400824,-1.0030948176743446
-0.021549624698633807,-1.002352218619004,-1.0000552293512512
-0.021546874698633804,-1.0023522186190035,-0.9973533730640519
-0.02154412469863381,-1.001682800140083,-0.9943137847409628
-0.021541374698633806,-1.0016828001400824,-0.991949660489663
-0.021538624698633806,-1.0016828001400824,-0.9895855362383683
-0.021535874698633807,-1.002017509379543,-0.9872214119870736
-0.021533124698633804,-1.0016828001400824,-0.9855327518075739
-0.02153037469863381,-1.0016828001400824,-0.98384409162808
-0.021527624698633806,-1.0020175093795431,-0.9824931634844808
-0.021524874698633806,-1.0023522186190041,-0.9814799673767826
-0.021522124698633807,-1.0023522186190041,-0.980804503304984
-0.021519374698633804,-1.0020175093795434,-0.9804667712690844
-0.02151662469863381,-1.002352218619004,-0.9808045033049834
-0.021513874698633806,-1.0020175093795431,-0.9811422353408832
-0.021511124698633807,-1.0020175093795431,-0.9814799673767826
-0.021508374698633807,-1.0020175093795431,-0.9821554314485811
-0.021505624698633805,-1.002017509379543,-0.9835063595921798
-0.02150287469863381,-1.0016828001400826,-0.9851950197716745
-0.021500124698633806,-1.0013480909006214,-0.9868836799511731
